Line of Business,Data Source,Table Name,Column Name,Data Type,Currently Have,Must Have,Nice to Have,Not Necessary,Use Daily,Use Weekly,Use Monthly,Use Annually,Used at all in Past 5 Years,Currently Have in CDP,Possible in CDP,Review
Dish,redpoint,dish_account_cert_rfrl,acnt_sk,bigint,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,acnt_number,bigint,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_1,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_2,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_3,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_4,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_5,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_6,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_7,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_8,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_9,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,cert_10,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,campaign_id,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,interaction_name,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,precert_dttm,timestamp without time zone,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,precert_dt,date,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl,rpid,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,acnt_sk,bigint,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,acnt_number,bigint,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_1,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_2,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_3,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_4,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_5,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_6,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_7,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_8,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_9,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,cert_10,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,campaign_id,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,interaction_name,character varying,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,precert_dttm,timestamp without time zone,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dish,redpoint,dish_account_cert_rfrl_vw,precert_dt,date,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
